Year,2,3,4,5,6,7,8,9,10,11,12,13,14
1979,620,960,1410,2030,2910,3800,4560,4720,4000,5741,6171,4000,5213
1980,837,831,1306,2207,2738,3188,3843,4506,4615,4000,7337,4000,4000
1981,584,693,1081,1656,2283,3214,3409,4046,4898,4000,6376,4000,4000
1982,289,959,1455,1674,2351,3031,3481,3874,3952,4958,5323,4000,5213
1983,320,1006,1496,1921,2371,2873,3678,4265,4463,5101,4000,4000,4000
1984,691,1007,1544,2120,2514,3027,2940,3906,3941,4138,5155,4000,4000
1985,652,1125,1811,2260,2924,3547,3733,4039,4564,4930,4852,5209,4000
1986,336,1227,1780,2431,2771,3689,3820,4258,4436,3863,5241,4000,4000
1987,452,1064,1692,2408,3000,3565,4215,4502,3653,4877,3814,5279,4163
1988,362,780,1474,2217,2931,3529,3781,4467,4169,4560,4631,5293,5293
1989,323,857,1185,1996,2893,4066,3866,4734,5039,5015,4975,5338,4575
1990,269,700,1054,1562,2364,3414,4134,4946,4115,4682,5220,5183,5204
1991,288,699,979,1412,1887,2674,3135,4341,5243,3427,4000,5356,4000
1992,313,806,1167,1524,1950,2357,3075,4053,4674,4503,5250,4000,4000
1993,303,705,1333,1875,2386,2996,3059,3363,4047,5294,5294,4709,4000
1994,337,668,1019,1717,2391,2717,3280,3156,3154,3897,5258,4190,4000
1995,351,746,1096,1318,2044,2893,3049,3675,3119,3220,1640,3753,4000
1996,311,787,1187,1560,1849,2670,3510,3567,3686,3846,3508,4000,4000
1997,379,764,1163,1649,1943,2342,3020,3337,3508,4028,2815,4133,4000
1998,445,724,1147,1683,2250,2475,2834,3333,3275,3701,3630,3806,4202
1999,555,908,1101,1658,2216,2659,2928,3209,3534,4000,4000,2159,4000
2000,495,978,1333,1481,2119,2696,3307,3597,3734,4142,5574,4000,1648
2001,541,945,1456,1731,1832,2243,3020,3328,4715,3849,4000,4000,4000
2002,564,928,1253,1737,2219,2230,2911,3365,4078,4551,4479,5358,4000
2003,498,922,1283,1704,2274,2744,2635,2819,3289,4157,5295,5313,4000
2004,559,1006,1258,1579,2044,2809,3123,2945,3957,3146,2827,4000,5249
2005,339,886,1265,1506,1916,2323,3028,3211,2755,4053,4019,4158,4000
2006,402,749,1093,1495,1758,2163,2555,3054,3617,3566,4000,4000,4000
2007,510,748,988,1346,1840,2062,2350,2525,2408,3360,2303,3338,5082
2008,383,636,857,1125,1575,2149,2417,2802,2568,2840,2727,4000,4000
2009,452,841,960,1131,1352,1757,2364,2497,3070,3016,3488,4000,4000
2010,447,756,1092,1294,1448,1685,2188,2366,2657,2639,2439,4000,4000
2011,588,905,1122,1455,1688,1914,2094,2455,2919,2953,3706,4000,4000
2012,668,978,1222,1492,1903,2164,2366,2704,2765,3431,2924,3367,5117
2013,678,1084,1358,1675,2036,2400,2554,3097,3111,2838,3634,2264,3523
2014,536,1080,1433,1793,2121,2504,2624,3178,3272,3445,3254,2829,3467
2015,559,1018,1491,1989,2223,2621,2852,3124,3126,3392,3248,3661,3483
2016,447,1013,1533,1994,2434,2628,2945,3122,3324,3326,3519,3415,3710
2017,443,868,1527,2033,2438,2798,2950,3192,3323,3470,3472,3610,3536
2018,452,863,1372,2027,2471,2801,3081,3196,3374,3469,3575,3576,3674
