Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1979,45667.8,80923.3,117296,27734.4,19565.5,20435.8,3407.6,770.268,145.769,49.5542,93.1732,88.114,12.214,10
1980,12734.9,37389.6,66119.6,94307.1,19303,10538.3,8567.98,1212.77,234.324,68.6748,40.5716,25.6129,21.4708,10
1981,52261,10426.4,30073.7,52880.9,66823.7,11915,5191.42,3638.02,500.704,109.508,27.2714,33.2172,16.4459,17.5788
1982,35793.9,42787.7,8527.4,24157.1,38851.6,39418.9,4327.02,1694.21,1347.14,257.929,50.7493,22.3279,14.5282,13.4648
1983,25128.7,29305.6,34934.8,6759.96,16928.9,21990.6,19561.4,1671.46,482.263,446.934,58.2569,18.0243,13.7564,11.8947
1984,52261,20573.7,23962.6,27688.3,4096.8,9701.55,9091.73,8017.65,675.37,207.543,127.947,32.3145,14.757,11.2628
1985,105653,42787.7,16626.2,18651.7,18193.9,2140.79,3625.07,4057.78,2876.18,337.595,117.441,87.5619,23.7424,12.082
1986,200354,86501.1,33837.2,12048.8,11142.8,8746.66,979.096,1446.02,1590.37,632.908,84.5738,68.1025,27.3526,15.8192
1987,59533.4,164036,69905.4,23882.4,6183.88,4882.9,2511.2,354.626,463.653,490.446,206.917,44.8125,29.5173,22.3944
1988,36370.9,48741.8,132547,49716.3,13251.1,2594.53,2150.11,1066.11,170.905,230.309,202.479,88.879,24.0217,18.7377
1989,33092.3,29777.9,39692,99624.5,26983.3,5579.29,944.316,779.514,321.808,80.2057,108.031,78.9115,51.0518,17.8576
1990,112712,27093.7,24210,30258.5,61152.5,13431.9,1676.08,308.959,135.122,133.178,34.9024,52.2545,32.0331,29.13
1991,213861,92280.5,20502.2,17636.3,16966.6,28703.3,5268.55,633.909,117.229,50.0048,68.319,16.8128,36.4485,24.4168
1992,46946.9,175094,67755.9,14844.9,9555.97,7247.77,10739.4,1917.52,213.166,59.7852,31.8921,51.4107,13.7652,18.9835
1993,57212.9,38436.9,138464,45798.4,6977.38,3652.46,2594.22,4079.36,665.997,65.9452,39.8996,22.4917,40.2819,11.27
1994,88987.7,46842,30773.6,102206,25901.1,3027.04,1432.25,834.574,1313.96,234.913,36.7994,31.7622,17.5098,17.5978
1995,44387.3,72857,35457.3,22170.4,58110.1,11540.6,1149.12,515.719,359.36,490.353,108.181,20.1756,25.0998,11.6213
1996,125205,36341.2,56017.3,22403.9,12954.2,25926.5,4228.6,384.348,159.832,125.014,158.971,41.5192,13.8039,13.3113
1997,21955.7,102509,26957.7,36315.3,11430.7,6563.21,9558.01,1339.33,126.471,59.3772,48.0627,84.0077,21.3253,11.3017
1998,61266.1,17975.8,82693.2,18507,19856.1,4929.46,3011.88,3269.58,445.976,45.6361,37.7559,24.873,32.5862,16.5549
1999,143421,50160.5,14464.9,60232.2,10024.5,9148.41,1848.01,1179.24,960.428,128.972,21.9814,16.4345,16.7449,23.9648
2000,191193,117423,39770.4,10440.3,33711.9,4121.13,3113.39,685.092,404.48,351.105,48.5886,17.9969,13.4554,12.8048
2001,228729,156535,93731.7,26845.4,6419.65,15281.6,1614.19,1005.37,267.739,130.286,128.209,28.9229,12.9249,11.0164
2002,61258.6,187267,125885,66699.2,15686.9,3947.57,6845.4,710.821,390.617,124.198,68.6659,57.9171,23.6801,10.582
2003,185632,50154.3,152342,93624.5,40133.1,8229.57,2208.63,2755.21,344.903,166.892,63.6816,26.3593,30.2266,13.9586
2004,471137,151983,40700.1,118980,61936,21504.3,4052.24,1131.45,1137.39,200.043,93.2078,42.1849,16.1521,20.2232
2005,110242,385734,122988,29646,81440.3,33193.1,9579.41,1562.31,500.178,488.753,80.5362,43.7379,20.9655,13.2242
2006,51667.2,90258.6,313636,92143.1,18002.5,43675.8,14709.4,3695.18,547.1,182.397,208.331,63.2229,18.6177,14.4506
2007,53793.3,42301.5,73679.5,247701,56216.2,8725.65,18711.6,5166.24,1052.81,155.665,65.1838,71.9399,51.7626,15.2429
2008,146345,44042.2,33926,56809.2,164594,25903.3,4109.13,6314.79,1750.5,392.359,71.3479,26.2229,29.0398,20.6635
2009,47503,119817,33963.1,23697.2,37729.1,86782.3,11241.9,1810.67,2425.74,695.749,170.128,40.3179,16.9453,23.7758
2010,34892.1,38892.2,97133.2,24924.7,14980.6,22844.2,39372.1,4016.68,825.537,736.446,212.221,51.5201,17.6273,13.8736
2011,23989.5,28567.2,31732.7,74068,14017.6,7916.44,12581.1,16397.7,1592.92,355.58,230.158,85.9823,24.9892,14.432
2012,42016.9,19641,23159.9,24547.3,49967.4,6880.06,3899.93,6696.57,7797.25,857.179,189.782,135.957,58.6334,20.4594
2013,29208.5,34400.5,15903.3,17765.6,17002.2,29050.1,3621.47,2079.14,3238.69,3975.17,483.733,111.044,60.641,30.8131
2014,24737.3,23913.9,27938.5,12077.7,11952.9,10293.6,15439.8,1873.77,1097.82,1522.38,2017.68,261.226,42.0536,34.2664
2015,130797,20253.2,19363.7,21536.8,8304.01,7320.49,5951.17,8350.31,1129.65,548.65,716.184,1061.98,132.439,10
2016,66778.1,107087,16278.4,14266.2,14097.9,4907.6,4191.73,3246.51,4534.78,613.477,297.954,388.936,576.728,71.9232
2017,66778.1,54673.2,87454.8,11730.3,8756.25,7724.25,2509.26,2081.42,1604.77,2241.56,303.245,147.28,192.253,285.079
2018,66778.1,54673.3,44669.7,65275.6,7152.86,4705.92,3890.19,1221.77,1013.45,781.37,1091.43,147.651,71.7114,93.609
2019,66778.1,54673.3,44609.8,33098.8,40854.5,3694.07,2248.99,1800.71,565.54,469.113,361.684,505.206,68.3456,33.1941
